key,en,es
,,
UI,,
PLAY_BUTTON,Play,Jugar
OPTIONS_BUTTON,Options,Ajustes
,,
GAME,,
,,
,,
,,
,,
CINEMATICS,,
CINEMATIC 1,,
C1D1,Extinction is coming by.,La extinción se acerca.
C1D2,You've been sent to fight an evil spirit who's rotting the souls of nearby animals.,Has sido enviado para luchar con un espíritu maligno que está pudriendo las almas de los animales cercanos.
C1D3,This spirit is known as contamination itself.,El espíritu es conocido como la contaminación en sí.
,,
C1D4,How can someone walk so confidently into this realm?,¿Cómo puedes andar tan tranquilamente por este páramo?
C1D5,I came here to understand you,He venido hasta aquí para entenderte
C1D6,And how do you intend to get something so ethereal out of me,Y cómo pretendes sonsacarme algo tan etéreo
C1D7,I have some questions for you,Tengo unas preguntas para ti
C1D8,I don't come off that easily. But you can try.,No soy tan fácil de convencer. Pero lo puedes intentar.
C1D9,Eh… Why are you destroying the forest?,Eh... ¿por qué estás destruyendo el bosque?
C1D10,Why do you think I’m doing it?,¿Por qué crees que lo estoy haciendo?
C1D11,Why am I destroying the forest?,¿Por qué estoy destruyendo el bosque?
C1D11O1,"¿Does your presence bring with it the shadow of destruction, sweeping everything away?","¿Tu presencia trae consigo la sombra de la destrucción, arrasando con todo?"
C1D11O2,"¿Is it your own greediness, chasing your own objectives, what corrupts the forest passing by?","¿Es tu propia codicia, buscando tus propios objetivos, la que corrompe el bosque a su paso?"
C1D11O3,"¿Do you dwell here just for mere entertainment, like who menaces their prey, but away from risk?","¿Moras aquí solo por entretenimiento, como quien acecha sin prisa a su presa, pero sin ser amenazado?"
C1D14,,
C1D15,,
C1D16,,
C1D17,,
C1D18,,
C1D19,,
C1D20,,
,,
,,
,,
DIALOGUE,,
BOSSFIGHT 1,,
BF1D1,,
BF1D2,,
BF1D3,,
BF1D4,,
BF1D5,,
BF1D6,,
